Instance,Toronto,,Scored Labels,,Instance,MAE,MAPE
3678,4160,,4100.687012,,1,0.01425793,6.620746676
20566,6985,,6834.34082,,2,0.021568959,
22380,6755,,6432.455078,,3,0.047749063,
8883,5471,,5918.608398,,4,0.081814732,
7448,6879,,6601.309082,,5,0.040367919,
16041,7460,,7206.92334,,6,0.033924485,
9057,5179,,5637.207031,,7,0.088474036,
8409,4083,,4318.479492,,8,0.057673155,
40316,5302,,5654.696777,,9,0.066521459,
27150,6401,,5726.661621,,10,0.105348911,
43066,6538,,6185.962891,,11,0.05384477,
42203,8504,,8117.578125,,12,0.045440014,
31095,4696,,5172.844727,,13,0.101542744,
43286,4484,,5088.016113,,14,0.134704753,
33776,5657,,6246.39502,,15,0.104188619,
4843,6252,,5879.070801,,16,0.059649584,
12505,5433,,5591.683105,,17,0.029207271,
36300,7726,,7348.375977,,18,0.048877042,
43085,5482,,5778.17041,,19,0.054025978,
35806,6466,,6394.056641,,20,0.011126409,
15305,4595,,4551.743652,,21,0.009413786,
8910,6333,,6118.832031,,22,0.033817775,
1627,5168,,5536.730469,,23,0.071348775,
24915,5257,,5367.277344,,24,0.020977239,
39937,5896,,6963.343262,,25,0.181028369,
18302,5224,,4862.822266,,26,0.069138157,
12528,4497,,4384.876953,,27,0.024932855,
22540,5522,,6045.37207,,28,0.09477944,
26366,5561,,5468.763184,,29,0.016586372,
37605,6440,,6251.547852,,30,0.029262756,
15810,7149,,6713.052246,,31,0.060980243,
36975,4245,,4243.819824,,32,0.000278015,
16612,6002,,5794.604492,,33,0.0345544,
13412,4051,,4221.663086,,34,0.042128631,
14323,5975,,5665.891113,,35,0.051733705,
9885,6528,,6328.737305,,36,0.03052431,
16690,6323,,5968.13916,,37,0.056122227,
36526,6121,,5850.870117,,38,0.044131659,
29887,6648,,6282.165527,,39,0.055029253,
39271,6857,,6380.810059,,40,0.069445813,
18091,5678,,5570.823242,,41,0.018875794,
23304,5015,,4841.427246,,42,0.034610719,
28253,6008,,6289.571777,,43,0.046866141,
42677,6556,,6290.632324,,44,0.040477071,
28294,6121,,5754.745605,,45,0.059835712,
20250,5064,,5111.600098,,46,0.009399703,
28962,6243,,6258.67627,,47,0.002511015,
2943,4671,,4502.738281,,48,0.036022633,
33952,6479,,6089.883789,,49,0.060058066,
5252,6309,,5930.17627,,50,0.060044972,
8313,4276,,4303.920898,,51,0.006529677,
28041,5566,,6023.647949,,52,0.082222053,
16342,6301,,6089.303223,,53,0.03359733,
15242,5231,,5109.595703,,54,0.023208621,
23537,6702,,6375.061035,,55,0.048782299,
21875,4448,,4236.124512,,56,0.047633878,
10186,5736,,5435.417969,,57,0.052402725,
13874,5017,,5811.923828,,58,0.158446049,
29732,5433,,5182.645508,,59,0.046080341,
26823,4212,,4388.866699,,60,0.041991144,
24265,6165,,6625.145996,,61,0.074638442,
17953,4402,,5268.366699,,62,0.196812063,
26778,4862,,5090.111816,,63,0.04691728,
37123,5970,,5696.727539,,64,0.045774282,
15670,8568,,7882.125488,,65,0.080050713,
6787,5717,,5358.562988,,66,0.062696696,
27745,5318,,5184.915527,,67,0.025025286,
9776,5142,,5016.967285,,68,0.024315969,
28808,7230,,6645.063965,,69,0.080904016,
37672,4501,,4882.270508,,70,0.084707956,
29856,4438,,4367.526367,,71,0.015879593,
42891,4531,,4869.307617,,72,0.074665111,
36964,7159,,7162.689941,,73,0.000515427,
35632,7022,,6743.45459,,74,0.039667532,
26812,7232,,6831.660645,,75,0.055356659,
16135,4744,,4890.244141,,76,0.03082718,
13868,7357,,7916.537598,,77,0.076055131,
17404,4634,,6170.311035,,78,0.331530219,
43835,6006,,5519.260254,,79,0.081042249,
34730,7070,,6691.28125,,80,0.053567008,
2650,6243,,7196.763672,,81,0.152773294,
6051,7889,,7248.412598,,82,0.081200076,
39740,7042,,6762.462402,,83,0.039695768,
20138,6266,,6239.016602,,84,0.00430632,
39079,5149,,5954.395508,,85,0.15641785,
22131,5791,,4657.947754,,86,0.195657442,
42122,6335,,6060.381348,,87,0.043349432,
19452,4160,,4111.800781,,88,0.011586351,
26541,5145,,4658.083984,,89,0.094638681,
38922,5956,,5780.512207,,90,0.029464035,
2970,4158,,5216.914063,,91,0.254669087,
27057,5219,,5705.143066,,92,0.0931487,
31313,6888,,6774.01123,,93,0.016548892,
40540,6839,,6493.862305,,94,0.050466105,
16160,7048,,6650.646973,,95,0.056378125,
28518,4621,,4613.216309,,96,0.001684417,
26726,6428,,6296.897461,,97,0.020395541,
40825,5455,,5358.124023,,98,0.017759116,
8817,4693,,4549.535645,,99,0.030569861,
,5288,,5372.148438,,100,0.015913093,
,9926,,9668.289063,,101,0.025963222,
,5130,,5251.05127,,102,0.023596739,
,5682,,5583.895508,,103,0.017265838,
,6282,,6716.566895,,104,0.069176519,
,6177,,6693.736816,,105,0.083654981,
,4410,,4412.425781,,106,0.000550064,
,6693,,6470.161621,,107,0.033294245,
,6039,,6859.90918,,108,0.135934622,
,4105,,4384.350586,,109,0.0680513,
,7650,,7668.287598,,110,0.002390536,
,6929,,6647.282715,,111,0.040657712,
,6662,,6487.710938,,112,0.026161673,
,5122,,4367.459961,,113,0.147313557,
,5128,,5290.213867,,114,0.031632969,
,4385,,4309.091797,,115,0.017310879,
,6093,,6551.163574,,116,0.075195072,
,7255,,6701.869141,,117,0.076241331,
,6640,,6794.509277,,118,0.023269469,
,4171,,4448.777344,,119,0.066597301,
,5227,,5648.553711,,120,0.080649266,
,5521,,5423.818848,,121,0.017602092,
,5820,,5681.944336,,122,0.023720904,
,4986,,5602.152344,,123,0.123576483,
,7055,,6354.812988,,124,0.099246919,
,4913,,5606.022949,,125,0.141059017,
,6836,,6492.937012,,126,0.050184755,
,6000,,5719.428223,,127,0.046761963,
,6310,,5889.280762,,128,0.066674998,
,5787,,5663.527344,,129,0.021336212,
,5342,,5952.902344,,130,0.114358357,
,4599,,4564.264648,,131,0.007552805,
,6600,,6460.810547,,132,0.021089311,
,4686,,4628.762695,,133,0.012214534,
,4355,,4758.354492,,134,0.092618712,
,6200,,5596.9375,,135,0.097268145,
,6028,,5888.087891,,136,0.02321037,
,4887,,4884.459961,,137,0.000519754,
,6841,,6479.16748,,138,0.052891758,
,6171,,5811.420898,,139,0.058269179,
,5574,,6289.790039,,140,0.128415866,
,5911,,6053.34375,,141,0.024081162,
,6308,,5980.013672,,142,0.051995296,
,5889,,5611.205078,,143,0.047171833,
,4773,,5692.738281,,144,0.192696057,
,4814,,4514.200684,,145,0.062276551,
,6776,,6391.42627,,146,0.056755273,
,6730,,6450.90918,,147,0.041469661,
,7573,,7083.971191,,148,0.064575308,
,6609,,6094.362793,,149,0.077869149,
,4511,,4383.680176,,150,0.028224302,
,6774,,6642.266602,,151,0.019446914,
,4399,,4633.410156,,152,0.053287146,
,4627,,4595.713379,,153,0.006761751,
,7115,,6847.48584,,154,0.037598617,
,6467,,6156.437012,,155,0.048022729,
,6619,,6259.742676,,156,0.054276677,
,5406,,5339.402344,,157,0.012319211,
,5691,,5302.514648,,158,0.068263109,
,6817,,6660.647949,,159,0.02293561,
,6428,,6217.688965,,160,0.032717958,
,4971,,5031.606445,,161,0.012192003,
,5718,,5541.520996,,162,0.030863764,
