Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2018,8,16,8,1.380061767,1.574436811,0.387997491,-1.142606244,1.794347264,1.180992603
2015,1,23,15,-0.670951478,-0.78431471,-0.474100575,1.344668179,0.79120772,0.657440662
2017,12,29,17,-1.616892932,-1.511518736,0.326419058,0.371386883,0.88726353,0.955100536
2019,1,10,7,-1.351675702,-1.362348679,-0.104629975,2.101664742,0.524826143,0.238047123
2014,12,4,6,-1.210226512,-0.989423538,0.757468091,-0.493752047,0.118817048,-0.204968452
2013,5,25,10,0.186584232,-0.290188897,-1.397777075,1.777237644,-0.427809832,0.033057213
2015,7,26,21,1.450786362,1.108280384,-1.028306475,-1.25074861,1.146713244,1.14348793
2016,11,27,0,-0.502980566,-0.196957612,1.003781825,0.15510215,-1.135850083,-1.145080566
2013,7,8,18,1.07948224,1.611729325,1.619566158,-0.385609681,-1.056628796,0.805103302
2017,11,26,20,-0.653270329,-0.700406553,-0.289365275,2.101664742,-0.149545062,0.143946171
2013,12,26,14,-0.874284688,-0.644467782,0.757468091,0.371386883,-0.382257592,0.778713703
2017,4,17,21,-0.547183437,-0.467328339,0.141683758,1.236525813,-0.414936373,-0.12186718
2013,3,2,8,-1.466603168,-1.315733037,0.511154358,0.263244517,-0.051508719,0.529046535
2014,6,19,4,0.734699841,1.108280384,1.065360258,-0.385609681,-1.038804006,-1.115464687
2016,1,27,8,-1.015733877,-1.017392923,-0.104629975,0.479529249,0.729811222,0.314096451
2013,8,10,1,0.911511328,0.781970885,-0.535679008,0.263244517,-1.096239439,-1.282405376
2018,9,25,12,0.964554774,1.490528654,1.619566158,-0.493752047,0.639697009,0.578460693
2018,10,17,2,-0.105154721,-0.318158283,-0.720414308,-0.277467314,-1.574537959,-1.731296539
2018,5,7,21,0.336873996,-0.551236496,-2.198296708,-1.467033343,-0.500099256,-0.654766083
2013,3,14,23,-1.121820769,-1.23182488,-0.474100575,-1.034463878,-0.442663823,-0.351512909
2013,7,24,8,0.496004334,0.297168201,-0.720414308,1.128383446,0.311918934,-0.08339119
2015,6,7,22,0.778902713,1.080310998,0.819046525,-0.277467314,-0.950670325,-0.622444153
2015,6,19,21,0.663975246,0.362430101,-0.966728041,-1.25074861,-0.023781269,-0.446702957
2016,5,15,8,-0.494139991,-0.308835154,0.511154358,1.236525813,-0.94175793,-0.066814423
2015,11,12,19,0.036294469,0.250552558,0.572732791,3.074946038,0.676336854,0.298710823
2013,4,5,7,-0.626748606,-0.644467782,-0.166208408,0.263244517,0.372325166,-0.130898476
2017,2,5,23,-1.015733877,-1.147916723,-0.535679008,0.695813982,-0.426819566,-0.494915485
2017,3,26,13,-0.520661714,-0.113049455,1.434830858,1.128383446,-0.211931825,0.465867519
2019,1,15,6,-1.006893303,-0.84957661,0.511154358,-0.061182582,-0.155486658,-0.212616444
2014,1,16,1,-1.192545364,-0.998746666,0.634311225,-0.710036779,-0.494157659,-0.736260414
2019,9,12,17,0.858467882,0.800617142,-0.289365275,-0.169324948,0.398072084,0.08189106
