Predicted Demand,Metric Prioritization,Date,Time
76.59375,NMAE,4/4/2020,0:00:00
76.59375,NMAE,4/4/2020,1:00:00
76.59375,NMAE,4/4/2020,2:00:00
76.59375,NMAE,4/4/2020,3:00:00
76.59375,NMAE,4/4/2020,4:00:00
76.59375,NMAE,4/4/2020,5:00:00
76.59375,NMAE,4/4/2020,6:00:00
76.59375,NMAE,4/4/2020,7:00:00
76.59375,NMAE,4/4/2020,8:00:00
76.59375,NMAE,4/4/2020,9:00:00
76.59375,NMAE,4/4/2020,10:00:00
76.59375,NMAE,4/4/2020,11:00:00
76.59375,NMAE,4/4/2020,12:00:00
76.59375,NMAE,4/4/2020,13:00:00
76.59375,NMAE,4/4/2020,14:00:00
76.59375,NMAE,4/4/2020,15:00:00
76.59375,NMAE,4/4/2020,16:00:00
76.59375,NMAE,4/4/2020,17:00:00
76.59375,NMAE,4/4/2020,18:00:00
76.59375,NMAE,4/4/2020,19:00:00
76.59375,NMAE,4/4/2020,20:00:00
76.59375,NMAE,4/4/2020,21:00:00
76.59375,NMAE,4/4/2020,22:00:00
76.59375,NMAE,4/4/2020,23:00:00
