Predicted Demand,Metric Prioritization,Date,Time
72.2841679,NRMS,4/4/2020,0:00:00
71.86110014,NRMS,4/4/2020,1:00:00
72.10160988,NRMS,4/4/2020,2:00:00
72.68545777,NRMS,4/4/2020,3:00:00
75.83893165,NRMS,4/4/2020,4:00:00
77.37162653,NRMS,4/4/2020,5:00:00
80.88978931,NRMS,4/4/2020,6:00:00
78.07973934,NRMS,4/4/2020,7:00:00
81.78948417,NRMS,4/4/2020,8:00:00
82.1507314,NRMS,4/4/2020,9:00:00
79.20949417,NRMS,4/4/2020,10:00:00
78.28941321,NRMS,4/4/2020,11:00:00
77.75177596,NRMS,4/4/2020,12:00:00
77.42801985,NRMS,4/4/2020,13:00:00
77.28574711,NRMS,4/4/2020,14:00:00
79.50282052,NRMS,4/4/2020,15:00:00
80.95595036,NRMS,4/4/2020,16:00:00
81.22138914,NRMS,4/4/2020,17:00:00
79.5032363,NRMS,4/4/2020,18:00:00
80.74191985,NRMS,4/4/2020,19:00:00
80.29419645,NRMS,4/4/2020,20:00:00
76.03485517,NRMS,4/4/2020,21:00:00
74.35569154,NRMS,4/4/2020,22:00:00
71.38086463,NRMS,4/4/2020,23:00:00
