Predicted Demand,Metric Prioritization,Date,Time,
75.8,NRMS,4/4/2020,0:00:00,
74,NRMS,4/4/2020,1:00:00,
71.5,NRMS,4/4/2020,2:00:00,
71.75,NRMS,4/4/2020,3:00:00,
72,NRMS,4/4/2020,4:00:00,
75.5,NRMS,4/4/2020,5:00:00,
79.5,NRMS,4/4/2020,6:00:00,
79.5,NRMS,4/4/2020,7:00:00,
76.5,NRMS,4/4/2020,8:00:00,
77,NRMS,4/4/2020,9:00:00,
75.75,NRMS,4/4/2020,10:00:00,
75.9,NRMS,4/4/2020,11:00:00,
75.9,NRMS,4/4/2020,12:00:00,
75.75,NRMS,4/4/2020,13:00:00,
74,NRMS,4/4/2020,14:00:00,
74.5,NRMS,4/4/2020,15:00:00,
80.5,NRMS,4/4/2020,16:00:00,
79.5,NRMS,4/4/2020,17:00:00,
75.5,NRMS,4/4/2020,18:00:00,
75.9,NRMS,4/4/2020,19:00:00,
75.9,NRMS,4/4/2020,20:00:00,
75.75,NRMS,4/4/2020,21:00:00,
74,NRMS,4/4/2020,22:00:00,
64.347202,NRMS,4/4/2020,23:00:00,
63.386796,NRMS,4/5/2020,0:00:00,
64.347202,NRMS,4/5/2020,1:00:00,
71.25,NRMS,4/5/2020,2:00:00,
71.75,NRMS,4/5/2020,3:00:00,
75.8,NRMS,4/5/2020,4:00:00,
77,NRMS,4/5/2020,5:00:00,
76.5,NRMS,4/5/2020,6:00:00,
78.5,NRMS,4/5/2020,7:00:00,
78.5,NRMS,4/5/2020,8:00:00,
76.5,NRMS,4/5/2020,9:00:00,
78.5,NRMS,4/5/2020,10:00:00,
77.5,NRMS,4/5/2020,11:00:00,
76.5,NRMS,4/5/2020,12:00:00,
75.5,NRMS,4/5/2020,13:00:00,
76.5,NRMS,4/5/2020,14:00:00,
81.5,NRMS,4/5/2020,15:00:00,
82.5,NRMS,4/5/2020,16:00:00,
79.5,NRMS,4/5/2020,17:00:00,
78.5,NRMS,4/5/2020,18:00:00,
81.5,NRMS,4/5/2020,19:00:00,
80.5,NRMS,4/5/2020,20:00:00,
79.5,NRMS,4/5/2020,21:00:00,
76.5,NRMS,4/5/2020,22:00:00,
77,NRMS,4/5/2020,23:00:00,
76,NRMS,4/6/2020,0:00:00,
75.75,NRMS,4/6/2020,1:00:00,
75.75,NRMS,4/6/2020,2:00:00,
74,NRMS,4/6/2020,3:00:00,
77,NRMS,4/6/2020,4:00:00,
81.5,NRMS,4/6/2020,5:00:00,
87.5,NRMS,4/6/2020,6:00:00,
88.5,NRMS,4/6/2020,7:00:00,
86.5,NRMS,4/6/2020,8:00:00,
82.5,NRMS,4/6/2020,9:00:00,
72,NRMS,4/6/2020,10:00:00,
71.25,NRMS,4/6/2020,11:00:00,
74,NRMS,4/6/2020,12:00:00,
77,NRMS,4/6/2020,13:00:00,
76.5,NRMS,4/6/2020,14:00:00,
81.5,NRMS,4/6/2020,15:00:00,
81.5,NRMS,4/6/2020,16:00:00,
80.5,NRMS,4/6/2020,17:00:00,
78.5,NRMS,4/6/2020,18:00:00,
78.5,NRMS,4/6/2020,19:00:00,
76.5,NRMS,4/6/2020,20:00:00,
77,NRMS,4/6/2020,21:00:00,
74,NRMS,4/6/2020,22:00:00,
76,NRMS,4/6/2020,23:00:00,
75.8,NRMS,4/7/2020,0:00:00,
75.8,NRMS,4/7/2020,1:00:00,
75.75,NRMS,4/7/2020,2:00:00,
75.75,NRMS,4/7/2020,3:00:00,
75.75,NRMS,4/7/2020,4:00:00,
76.5,NRMS,4/7/2020,5:00:00,
78.5,NRMS,4/7/2020,6:00:00,
77.5,NRMS,4/7/2020,7:00:00,
79.5,NRMS,4/7/2020,8:00:00,
78.5,NRMS,4/7/2020,9:00:00,
75.5,NRMS,4/7/2020,10:00:00,
74.5,NRMS,4/7/2020,11:00:00,
85.5,NRMS,4/7/2020,12:00:00,
74.5,NRMS,4/7/2020,13:00:00,
81.5,NRMS,4/7/2020,14:00:00,
82.5,NRMS,4/7/2020,15:00:00,
84.5,NRMS,4/7/2020,16:00:00,
77.5,NRMS,4/7/2020,17:00:00,
75.5,NRMS,4/7/2020,18:00:00,
74.5,NRMS,4/7/2020,19:00:00,
75.9,NRMS,4/7/2020,20:00:00,
71.5,NRMS,4/7/2020,21:00:00,
71,NRMS,4/7/2020,22:00:00,
71.5,NRMS,4/7/2020,23:00:00,
71.75,NRMS,4/8/2020,0:00:00,
71.5,NRMS,4/8/2020,1:00:00,
71,NRMS,4/8/2020,2:00:00,
71,NRMS,4/8/2020,3:00:00,
71,NRMS,4/8/2020,4:00:00,
74,NRMS,4/8/2020,5:00:00,
74.5,NRMS,4/8/2020,6:00:00,
75.5,NRMS,4/8/2020,7:00:00,
78.5,NRMS,4/8/2020,8:00:00,
74.5,NRMS,4/8/2020,9:00:00,
78.5,NRMS,4/8/2020,10:00:00,
77.5,NRMS,4/8/2020,11:00:00,
74.5,NRMS,4/8/2020,12:00:00,
77,NRMS,4/8/2020,13:00:00,
76.5,NRMS,4/8/2020,14:00:00,
76.5,NRMS,4/8/2020,15:00:00,
80.5,NRMS,4/8/2020,16:00:00,
76.5,NRMS,4/8/2020,17:00:00,
74.5,NRMS,4/8/2020,18:00:00,
74.5,NRMS,4/8/2020,19:00:00,
74,NRMS,4/8/2020,20:00:00,
76,NRMS,4/8/2020,21:00:00,
75.9,NRMS,4/8/2020,22:00:00,
71.75,NRMS,4/8/2020,23:00:00,
50.901518,NRMS,4/9/2020,0:00:00,
53.782736,NRMS,4/9/2020,1:00:00,
71,NRMS,4/9/2020,2:00:00,
72,NRMS,4/9/2020,3:00:00,
75.8,NRMS,4/9/2020,4:00:00,
75.9,NRMS,4/9/2020,5:00:00,
75.9,NRMS,4/9/2020,6:00:00,
74,NRMS,4/9/2020,7:00:00,
64.347202,NRMS,4/9/2020,8:00:00,
61.465984,NRMS,4/9/2020,9:00:00,
71,NRMS,4/9/2020,10:00:00,
71,NRMS,4/9/2020,11:00:00,
71,NRMS,4/9/2020,12:00:00,
72,NRMS,4/9/2020,13:00:00,
75.8,NRMS,4/9/2020,14:00:00,
76,NRMS,4/9/2020,15:00:00,
75.9,NRMS,4/9/2020,16:00:00,
62.42639,NRMS,4/9/2020,17:00:00,
57.62436,NRMS,4/9/2020,18:00:00,
55.703548,NRMS,4/9/2020,19:00:00,
54.743142,NRMS,4/9/2020,20:00:00,
57.62436,NRMS,4/9/2020,21:00:00,
51.861924,NRMS,4/9/2020,22:00:00,
54.743142,NRMS,4/9/2020,23:00:00,
53.782736,NRMS,4/10/2020,0:00:00,
54.743142,NRMS,4/10/2020,1:00:00,
54.743142,NRMS,4/10/2020,2:00:00,
56.663954,NRMS,4/10/2020,3:00:00,
58.584766,NRMS,4/10/2020,4:00:00,
63.386796,NRMS,4/10/2020,5:00:00,
71.25,NRMS,4/10/2020,6:00:00,
71.75,NRMS,4/10/2020,7:00:00,
74,NRMS,4/10/2020,8:00:00,
62.42639,NRMS,4/10/2020,9:00:00,
63.386796,NRMS,4/10/2020,10:00:00,
62.42639,NRMS,4/10/2020,11:00:00,
63.386796,NRMS,4/10/2020,12:00:00,
61.465984,NRMS,4/10/2020,13:00:00,
60.505578,NRMS,4/10/2020,14:00:00,
64.347202,NRMS,4/10/2020,15:00:00,
63.386796,NRMS,4/10/2020,16:00:00,
61.465984,NRMS,4/10/2020,17:00:00,
62.42639,NRMS,4/10/2020,18:00:00,
64.347202,NRMS,4/10/2020,19:00:00,
62.42639,NRMS,4/10/2020,20:00:00,
62.42639,NRMS,4/10/2020,21:00:00,
61.465984,NRMS,4/10/2020,22:00:00,
62.42639,NRMS,4/10/2020,23:00:00,
