Predicted Demand,Metric Prioritization,Date,Time
74.35683869,NMAE,4/4/2020,0:00:00
74.44671546,NMAE,4/4/2020,1:00:00
74.64994669,NMAE,4/4/2020,2:00:00
74.87753266,NMAE,4/4/2020,3:00:00
75.05638715,NMAE,4/4/2020,4:00:00
75.32273401,NMAE,4/4/2020,5:00:00
69.16404268,R2,4/4/2020,0:00:00
69.02206606,R2,4/4/2020,1:00:00
70.59377491,R2,4/4/2020,2:00:00
71.09107567,R2,4/4/2020,3:00:00
73.1967595,R2,4/4/2020,4:00:00
76.2991321,R2,4/4/2020,5:00:00
67.41397171,NRMS,4/4/2020,0:00:00
67.79882815,NRMS,4/4/2020,1:00:00
67.9297617,NRMS,4/4/2020,2:00:00
68.85764426,NRMS,4/4/2020,3:00:00
69.19342272,NRMS,4/4/2020,4:00:00
76.05601681,NRMS,4/4/2020,5:00:00
