Predicted Demand,Metric Prioritization,Date,Time,
718.526833,NRMS,4/4/2020,0:00:00,
699.27153,NRMS,4/4/2020,1:00:00,
691.164034,NRMS,4/4/2020,2:00:00,
692.177471,NRMS,4/4/2020,3:00:00,
709.4059,NRMS,4/4/2020,4:00:00,
739.80901,NRMS,4/4/2020,5:00:00,
751.970254,NRMS,4/4/2020,6:00:00,
747.916506,NRMS,4/4/2020,7:00:00,
751.970254,NRMS,4/4/2020,8:00:00,
785.45,NRMS,4/4/2020,9:00:00,
776.05,NRMS,4/4/2020,10:00:00,
792.5,NRMS,4/4/2020,11:00:00,
816,NRMS,4/4/2020,12:00:00,
742.849321,NRMS,4/4/2020,13:00:00,
747.916506,NRMS,4/4/2020,14:00:00,
798.588356,NRMS,4/4/2020,15:00:00,
858,NRMS,4/4/2020,16:00:00,
890,NRMS,4/4/2020,17:00:00,
912.75,NRMS,4/4/2020,18:00:00,
923.25,NRMS,4/4/2020,19:00:00,
887.219136,NRMS,4/4/2020,20:00:00,
813.02,NRMS,4/4/2020,21:00:00,
816,NRMS,4/4/2020,22:00:00,
708.392463,NRMS,4/4/2020,23:00:00,
682.043101,NRMS,4/5/2020,0:00:00,
670.895294,NRMS,4/5/2020,1:00:00,
664.814672,NRMS,4/5/2020,2:00:00,
674.949042,NRMS,4/5/2020,3:00:00,
686.096849,NRMS,4/5/2020,4:00:00,
707.379026,NRMS,4/5/2020,5:00:00,
730.688077,NRMS,4/5/2020,6:00:00,
780.34649,NRMS,4/5/2020,7:00:00,
837.2,NRMS,4/5/2020,8:00:00,
883.11164,NRMS,4/5/2020,9:00:00,
891.75,NRMS,4/5/2020,10:00:00,
926.75,NRMS,4/5/2020,11:00:00,
900.5,NRMS,4/5/2020,12:00:00,
891.326632,NRMS,4/5/2020,13:00:00,
887.219136,NRMS,4/5/2020,14:00:00,
911.864112,NRMS,4/5/2020,15:00:00,
960,NRMS,4/5/2020,16:00:00,
960,NRMS,4/5/2020,17:00:00,
960,NRMS,4/5/2020,18:00:00,
960,NRMS,4/5/2020,19:00:00,
898.75,NRMS,4/5/2020,20:00:00,
847.5,NRMS,4/5/2020,21:00:00,
787.440549,NRMS,4/5/2020,22:00:00,
740.822447,NRMS,4/5/2020,23:00:00,
708.392463,NRMS,4/6/2020,0:00:00,
700.284967,NRMS,4/6/2020,1:00:00,
697.244656,NRMS,4/6/2020,2:00:00,
712.446211,NRMS,4/6/2020,3:00:00,
818.35,NRMS,4/6/2020,4:00:00,
822.32,NRMS,4/6/2020,5:00:00,
852.5,NRMS,4/6/2020,6:00:00,
851,NRMS,4/6/2020,7:00:00,
829.76,NRMS,4/6/2020,8:00:00,
805.58,NRMS,4/6/2020,9:00:00,
800,NRMS,4/6/2020,10:00:00,
811.16,NRMS,4/6/2020,11:00:00,
792.507734,NRMS,4/6/2020,12:00:00,
780.34649,NRMS,4/6/2020,13:00:00,
793.521171,NRMS,4/6/2020,14:00:00,
839.06,NRMS,4/6/2020,15:00:00,
912.890986,NRMS,4/6/2020,16:00:00,
911,NRMS,4/6/2020,17:00:00,
960,NRMS,4/6/2020,18:00:00,
960,NRMS,4/6/2020,19:00:00,
906.729742,NRMS,4/6/2020,20:00:00,
853.94,NRMS,4/6/2020,21:00:00,
790.15,NRMS,4/6/2020,22:00:00,
722.580581,NRMS,4/6/2020,23:00:00,
698.258093,NRMS,4/7/2020,0:00:00,
685.083412,NRMS,4/7/2020,1:00:00,
687.110286,NRMS,4/7/2020,2:00:00,
698.258093,NRMS,4/7/2020,3:00:00,
736.768699,NRMS,4/7/2020,4:00:00,
805.682415,NRMS,4/7/2020,5:00:00,
848.36,NRMS,4/7/2020,6:00:00,
831.62,NRMS,4/7/2020,7:00:00,
803.655541,NRMS,4/7/2020,8:00:00,
789.467423,NRMS,4/7/2020,9:00:00,
798.588356,NRMS,4/7/2020,10:00:00,
806.695852,NRMS,4/7/2020,11:00:00,
791.494297,NRMS,4/7/2020,12:00:00,
783.386801,NRMS,4/7/2020,13:00:00,
789.467423,NRMS,4/7/2020,14:00:00,
826.04,NRMS,4/7/2020,15:00:00,
912.890986,NRMS,4/7/2020,16:00:00,
923.25,NRMS,4/7/2020,17:00:00,
960,NRMS,4/7/2020,18:00:00,
960,NRMS,4/7/2020,19:00:00,
904.675994,NRMS,4/7/2020,20:00:00,
842.78,NRMS,4/7/2020,21:00:00,
808.95,NRMS,4/7/2020,22:00:00,
724.607455,NRMS,4/7/2020,23:00:00,
702.311841,NRMS,4/8/2020,0:00:00,
692.177471,NRMS,4/8/2020,1:00:00,
683.056538,NRMS,4/8/2020,2:00:00,
706.365589,NRMS,4/8/2020,3:00:00,
734.741825,NRMS,4/8/2020,4:00:00,
794.534608,NRMS,4/8/2020,5:00:00,
849.5,NRMS,4/8/2020,6:00:00,
890,NRMS,4/8/2020,7:00:00,
905.75,NRMS,4/8/2020,8:00:00,
911,NRMS,4/8/2020,9:00:00,
960,NRMS,4/8/2020,10:00:00,
960,NRMS,4/8/2020,11:00:00,
893.5,NRMS,4/8/2020,12:00:00,
893.38038,NRMS,4/8/2020,13:00:00,
905.702868,NRMS,4/8/2020,14:00:00,
960,NRMS,4/8/2020,15:00:00,
955,NRMS,4/8/2020,16:00:00,
975.939831,NRMS,4/8/2020,17:00:00,
960,NRMS,4/8/2020,18:00:00,
960,NRMS,4/8/2020,19:00:00,
898.75,NRMS,4/8/2020,20:00:00,
852.08,NRMS,4/8/2020,21:00:00,
771.35,NRMS,4/8/2020,22:00:00,
735.755262,NRMS,4/8/2020,23:00:00,
706.365589,NRMS,4/9/2020,0:00:00,
689.13716,NRMS,4/9/2020,1:00:00,
696.231219,NRMS,4/9/2020,2:00:00,
714.473085,NRMS,4/9/2020,3:00:00,
744.876195,NRMS,4/9/2020,4:00:00,
803.655541,NRMS,4/9/2020,5:00:00,
888.24601,NRMS,4/9/2020,6:00:00,
960,NRMS,4/9/2020,7:00:00,
960,NRMS,4/9/2020,8:00:00,
959,NRMS,4/9/2020,9:00:00,
976,NRMS,4/9/2020,10:00:00,
981,NRMS,4/9/2020,11:00:00,
976.953268,NRMS,4/9/2020,12:00:00,
947,NRMS,4/9/2020,13:00:00,
960,NRMS,4/9/2020,14:00:00,
960,NRMS,4/9/2020,15:00:00,
977.966705,NRMS,4/9/2020,16:00:00,
960,NRMS,4/9/2020,17:00:00,
960,NRMS,4/9/2020,18:00:00,
974.926394,NRMS,4/9/2020,19:00:00,
960,NRMS,4/9/2020,20:00:00,
898.51475,NRMS,4/9/2020,21:00:00,
824.18,NRMS,4/9/2020,22:00:00,
788.453986,NRMS,4/9/2020,23:00:00,
813.65,NRMS,4/10/2020,0:00:00,
743.862758,NRMS,4/10/2020,1:00:00,
736.768699,NRMS,4/10/2020,2:00:00,
742.849321,NRMS,4/10/2020,3:00:00,
787.8,NRMS,4/10/2020,4:00:00,
806.695852,NRMS,4/10/2020,5:00:00,
827.9,NRMS,4/10/2020,6:00:00,
852,NRMS,4/10/2020,7:00:00,
885.165388,NRMS,4/10/2020,8:00:00,
902.622246,NRMS,4/10/2020,9:00:00,
893.5,NRMS,4/10/2020,10:00:00,
960,NRMS,4/10/2020,11:00:00,
919.75,NRMS,4/10/2020,12:00:00,
904,NRMS,4/10/2020,13:00:00,
926.75,NRMS,4/10/2020,14:00:00,
960,NRMS,4/10/2020,15:00:00,
997,NRMS,4/10/2020,16:00:00,
977,NRMS,4/10/2020,17:00:00,
963,NRMS,4/10/2020,18:00:00,
976.953268,NRMS,4/10/2020,19:00:00,
960,NRMS,4/10/2020,20:00:00,
886.192262,NRMS,4/10/2020,21:00:00,
818.6,NRMS,4/10/2020,22:00:00,
783.386801,NRMS,4/10/2020,23:00:00,
