Predicted Demand,Metric Prioritization,Date,Time
657.6516241,NRMS,4/4/2020,0:00:00
652.5069641,NRMS,4/4/2020,1:00:00
641.5564344,NRMS,4/4/2020,2:00:00
647.9124432,NRMS,4/4/2020,3:00:00
677.3126396,NRMS,4/4/2020,4:00:00
735.1909743,NRMS,4/4/2020,5:00:00
689.1361844,R2,4/4/2020,0:00:00
691.3687783,R2,4/4/2020,1:00:00
681.5743477,R2,4/4/2020,2:00:00
683.9348232,R2,4/4/2020,3:00:00
690.4798838,R2,4/4/2020,4:00:00
740.9262568,R2,4/4/2020,5:00:00
709.9361161,NMAE,4/4/2020,0:00:00
719.1899586,NMAE,4/4/2020,1:00:00
712.8631396,NMAE,4/4/2020,2:00:00
745.0064637,NMAE,4/4/2020,3:00:00
735.9378668,NMAE,4/4/2020,4:00:00
782.7127505,NMAE,4/4/2020,5:00:00
