Predicted Demand,Metric Prioritization,Date,Time
3820.205,NMAE,4/4/2020,0:00:00
3742.909474,NMAE,4/4/2020,1:00:00
3699.836734,NMAE,4/4/2020,2:00:00
3745.931928,NMAE,4/4/2020,3:00:00
3756.467559,NMAE,4/4/2020,4:00:00
3808.314596,NMAE,4/4/2020,5:00:00
4128.468995,NMAE,4/4/2020,6:00:00
4192.895027,NMAE,4/4/2020,7:00:00
4275.345884,NMAE,4/4/2020,8:00:00
4537.540287,NMAE,4/4/2020,9:00:00
4718.912715,NMAE,4/4/2020,10:00:00
4878.437622,NMAE,4/4/2020,11:00:00
4927.579052,NMAE,4/4/2020,12:00:00
4958.255671,NMAE,4/4/2020,13:00:00
4973.489582,NMAE,4/4/2020,14:00:00
4953.195619,NMAE,4/4/2020,15:00:00
5005.774301,NMAE,4/4/2020,16:00:00
4997.918327,NMAE,4/4/2020,17:00:00
4975.7938,NMAE,4/4/2020,18:00:00
4963.997959,NMAE,4/4/2020,19:00:00
4922.192861,NMAE,4/4/2020,20:00:00
4936.505325,NMAE,4/4/2020,21:00:00
4481.71824,NMAE,4/4/2020,22:00:00
4303.243335,NMAE,4/4/2020,23:00:00
