Predicted Demand,Metric Prioritization,Date,Time
4083.584794,NRMS,4/4/2020,0:00:00
3977.723371,NRMS,4/4/2020,1:00:00
3942.308026,NRMS,4/4/2020,2:00:00
3969.58296,NRMS,4/4/2020,3:00:00
3973.374688,NRMS,4/4/2020,4:00:00
4172.119566,NRMS,4/4/2020,5:00:00
4405.149401,NRMS,4/4/2020,6:00:00
4529.926066,NRMS,4/4/2020,7:00:00
4740.76366,NRMS,4/4/2020,8:00:00
4778.745549,NRMS,4/4/2020,9:00:00
4798.03163,NRMS,4/4/2020,10:00:00
4802.271329,NRMS,4/4/2020,11:00:00
4920.063009,NRMS,4/4/2020,12:00:00
4888.724962,NRMS,4/4/2020,13:00:00
4882.324338,NRMS,4/4/2020,14:00:00
4882.625549,NRMS,4/4/2020,15:00:00
4892.210552,NRMS,4/4/2020,16:00:00
4857.218018,NRMS,4/4/2020,17:00:00
4861.411598,NRMS,4/4/2020,18:00:00
4849.216091,NRMS,4/4/2020,19:00:00
4842.260745,NRMS,4/4/2020,20:00:00
4882.68126,NRMS,4/4/2020,21:00:00
4565.918682,NRMS,4/4/2020,22:00:00
4446.61925,NRMS,4/4/2020,23:00:00
