Predicted Demand,Metric Prioritization,Date,Time
4068.631743,R2,4/4/2020,0:00:00
3918.026608,R2,4/4/2020,1:00:00
3849.958363,R2,4/4/2020,2:00:00
3785.852259,R2,4/4/2020,3:00:00
3819.781044,R2,4/4/2020,4:00:00
3775.034325,R2,4/4/2020,5:00:00
3975.383896,R2,4/4/2020,6:00:00
4127.268013,R2,4/4/2020,7:00:00
4371.277729,R2,4/4/2020,8:00:00
4538.824261,R2,4/4/2020,9:00:00
4661.505284,R2,4/4/2020,10:00:00
4701.615408,R2,4/4/2020,11:00:00
4671.946291,R2,4/4/2020,12:00:00
4614.86732,R2,4/4/2020,13:00:00
4576.963992,R2,4/4/2020,14:00:00
4579.798096,R2,4/4/2020,15:00:00
4609.076374,R2,4/4/2020,16:00:00
4611.944654,R2,4/4/2020,17:00:00
4670.558482,R2,4/4/2020,18:00:00
4691.94666,R2,4/4/2020,19:00:00
4608.523424,R2,4/4/2020,20:00:00
4560.897913,R2,4/4/2020,21:00:00
4332.090236,R2,4/4/2020,22:00:00
4095.705895,R2,4/4/2020,23:00:00
