Predicted Demand,Metric Prioritization,Date,Time
4068.631743,R2,4/4/2020,0:00:00
3918.026608,R2,4/4/2020,1:00:00
3849.958363,R2,4/4/2020,2:00:00
3785.852259,R2,4/4/2020,3:00:00
3819.781044,R2,4/4/2020,4:00:00
3775.034325,R2,4/4/2020,5:00:00
3975.383896,R2,4/4/2020,6:00:00
4127.268013,R2,4/4/2020,7:00:00
4371.277729,R2,4/4/2020,8:00:00
4538.824261,R2,4/4/2020,9:00:00
4661.505284,R2,4/4/2020,10:00:00
4701.615408,R2,4/4/2020,11:00:00
4671.946291,R2,4/4/2020,12:00:00
4614.86732,R2,4/4/2020,13:00:00
4576.963992,R2,4/4/2020,14:00:00
4579.798096,R2,4/4/2020,15:00:00
4609.076374,R2,4/4/2020,16:00:00
4611.944654,R2,4/4/2020,17:00:00
4670.558482,R2,4/4/2020,18:00:00
4691.94666,R2,4/4/2020,19:00:00
4608.523424,R2,4/4/2020,20:00:00
4560.897913,R2,4/4/2020,21:00:00
4332.090236,R2,4/4/2020,22:00:00
4095.705895,R2,4/4/2020,23:00:00
4083.584794,NRMS,4/4/2020,0:00:00
3977.723371,NRMS,4/4/2020,1:00:00
3942.308026,NRMS,4/4/2020,2:00:00
3969.58296,NRMS,4/4/2020,3:00:00
3973.374688,NRMS,4/4/2020,4:00:00
4172.119566,NRMS,4/4/2020,5:00:00
4405.149401,NRMS,4/4/2020,6:00:00
4529.926066,NRMS,4/4/2020,7:00:00
4740.76366,NRMS,4/4/2020,8:00:00
4778.745549,NRMS,4/4/2020,9:00:00
4798.03163,NRMS,4/4/2020,10:00:00
4802.271329,NRMS,4/4/2020,11:00:00
4920.063009,NRMS,4/4/2020,12:00:00
4888.724962,NRMS,4/4/2020,13:00:00
4882.324338,NRMS,4/4/2020,14:00:00
4882.625549,NRMS,4/4/2020,15:00:00
4892.210552,NRMS,4/4/2020,16:00:00
4857.218018,NRMS,4/4/2020,17:00:00
4861.411598,NRMS,4/4/2020,18:00:00
4849.216091,NRMS,4/4/2020,19:00:00
4842.260745,NRMS,4/4/2020,20:00:00
4882.68126,NRMS,4/4/2020,21:00:00
4565.918682,NRMS,4/4/2020,22:00:00
4446.61925,NRMS,4/4/2020,23:00:00
3820.205,NMAE,4/4/2020,0:00:00
3742.909474,NMAE,4/4/2020,1:00:00
3699.836734,NMAE,4/4/2020,2:00:00
3745.931928,NMAE,4/4/2020,3:00:00
3756.467559,NMAE,4/4/2020,4:00:00
3808.314596,NMAE,4/4/2020,5:00:00
4128.468995,NMAE,4/4/2020,6:00:00
4192.895027,NMAE,4/4/2020,7:00:00
4275.345884,NMAE,4/4/2020,8:00:00
4537.540287,NMAE,4/4/2020,9:00:00
4718.912715,NMAE,4/4/2020,10:00:00
4878.437622,NMAE,4/4/2020,11:00:00
4927.579052,NMAE,4/4/2020,12:00:00
4958.255671,NMAE,4/4/2020,13:00:00
4973.489582,NMAE,4/4/2020,14:00:00
4953.195619,NMAE,4/4/2020,15:00:00
5005.774301,NMAE,4/4/2020,16:00:00
4997.918327,NMAE,4/4/2020,17:00:00
4975.7938,NMAE,4/4/2020,18:00:00
4963.997959,NMAE,4/4/2020,19:00:00
4922.192861,NMAE,4/4/2020,20:00:00
4936.505325,NMAE,4/4/2020,21:00:00
4481.71824,NMAE,4/4/2020,22:00:00
4303.243335,NMAE,4/4/2020,23:00:00
