Predicted Demand,Metric Prioritization,Date,Time,
4162.725918,NRMS,4/4/2020,0:00:00,
4035.235025,NRMS,4/4/2020,1:00:00,
3950.241096,NRMS,4/4/2020,2:00:00,
3924.545257,NRMS,4/4/2020,3:00:00,
3963.089015,NRMS,4/4/2020,4:00:00,
4064.88407,NRMS,4/4/2020,5:00:00,
4162.725918,NRMS,4/4/2020,6:00:00,
4594.2,NRMS,4/4/2020,7:00:00,
4481.631167,NRMS,4/4/2020,8:00:00,
4637.887647,NRMS,4/4/2020,9:00:00,
4982,NRMS,4/4/2020,10:00:00,
5065,NRMS,4/4/2020,11:00:00,
5081,NRMS,4/4/2020,12:00:00,
5055,NRMS,4/4/2020,13:00:00,
5030,NRMS,4/4/2020,14:00:00,
5034,NRMS,4/4/2020,15:00:00,
5132,NRMS,4/4/2020,16:00:00,
5208,NRMS,4/4/2020,17:00:00,
5245,NRMS,4/4/2020,18:00:00,
5271,NRMS,4/4/2020,19:00:00,
5094,NRMS,4/4/2020,20:00:00,
4674.998561,NRMS,4/4/2020,21:00:00,
4541.1,NRMS,4/4/2020,22:00:00,
4277.35,NRMS,4/4/2020,23:00:00,
4078.720291,NRMS,4/5/2020,0:00:00,
3961.112412,NRMS,4/5/2020,1:00:00,
3855.364152,NRMS,4/5/2020,2:00:00,
3844.492835,NRMS,4/5/2020,3:00:00,
3862.282262,NRMS,4/5/2020,4:00:00,
3945.299588,NRMS,4/5/2020,5:00:00,
4004.597678,NRMS,4/5/2020,6:00:00,
4143.94819,NRMS,4/5/2020,7:00:00,
4608.6,NRMS,4/5/2020,8:00:00,
4450.379871,NRMS,4/5/2020,9:00:00,
4596.870321,NRMS,4/5/2020,10:00:00,
4937,NRMS,4/5/2020,11:00:00,
4936,NRMS,4/5/2020,12:00:00,
4880,NRMS,4/5/2020,13:00:00,
4644.723868,NRMS,4/5/2020,14:00:00,
4658.39631,NRMS,4/5/2020,15:00:00,
5040,NRMS,4/5/2020,16:00:00,
5092,NRMS,4/5/2020,17:00:00,
5124,NRMS,4/5/2020,18:00:00,
5303,NRMS,4/5/2020,19:00:00,
5153,NRMS,4/5/2020,20:00:00,
4946,NRMS,4/5/2020,21:00:00,
4491.397197,NRMS,4/5/2020,22:00:00,
4606.8,NRMS,4/5/2020,23:00:00,
4167.667426,NRMS,4/6/2020,0:00:00,
4069.825577,NRMS,4/6/2020,1:00:00,
4040.176532,NRMS,4/6/2020,2:00:00,
4078.720291,NRMS,4/6/2020,3:00:00,
4314.2,NRMS,4/6/2020,4:00:00,
4534.8,NRMS,4/6/2020,5:00:00,
4926,NRMS,4/6/2020,6:00:00,
5158,NRMS,4/6/2020,7:00:00,
5216,NRMS,4/6/2020,8:00:00,
5235,NRMS,4/6/2020,9:00:00,
5286,NRMS,4/6/2020,10:00:00,
5356,NRMS,4/6/2020,11:00:00,
5319,NRMS,4/6/2020,12:00:00,
5321,NRMS,4/6/2020,13:00:00,
5265,NRMS,4/6/2020,14:00:00,
5305,NRMS,4/6/2020,15:00:00,
5347,NRMS,4/6/2020,16:00:00,
5317.603335,NRMS,4/6/2020,17:00:00,
5351.78444,NRMS,4/6/2020,18:00:00,
5357.644058,NRMS,4/6/2020,19:00:00,
5306,NRMS,4/6/2020,20:00:00,
5039,NRMS,4/6/2020,21:00:00,
4518.742081,NRMS,4/6/2020,22:00:00,
4606.35,NRMS,4/6/2020,23:00:00,
4146.913094,NRMS,4/7/2020,0:00:00,
4045.11804,NRMS,4/7/2020,1:00:00,
3989.773156,NRMS,4/7/2020,2:00:00,
4015.468995,NRMS,4/7/2020,3:00:00,
4147.901396,NRMS,4/7/2020,4:00:00,
4560.45,NRMS,4/7/2020,5:00:00,
4608.589557,NRMS,4/7/2020,6:00:00,
5056,NRMS,4/7/2020,7:00:00,
5136,NRMS,4/7/2020,8:00:00,
5205,NRMS,4/7/2020,9:00:00,
5289,NRMS,4/7/2020,10:00:00,
5308,NRMS,4/7/2020,11:00:00,
