Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Ottawa,Bruce,Difference,Holiday & Weekends
2013,1,1,0,-1.2,-7.6,62,28,4990,868,53,-45,1
2013,1,1,1,-2.3,-9.2,59,28,4800,833,53,15,1
2013,1,1,2,-2.6,-9.6,59,24,4632,805,50,-31,1
2013,1,1,3,-3.1,-10.5,57,24,4514,796,51,-52,1
2013,1,1,4,-3.2,-10.3,58,28,4454,801,53,-37,1
2013,1,1,5,-3.6,-9.9,62,22,4474,826,52,-9,1
2013,1,1,6,-3.8,-9.3,66,20,4585,884,52,-45,1
2013,1,1,7,-4.6,-9.8,67,22,4689,892,58,17,1
2013,1,1,8,-5.4,-11.5,62,24,4728,905,62,-10,1
2013,1,1,9,-6.2,-12.4,61,22,4887,936,68,-74,1
2013,1,1,10,-6.8,-14.6,54,22,5041,965,69,-89,1
2013,1,1,11,-7.3,-12.8,65,15,5195,981,73,-72,1
2013,1,1,12,-7.2,-12.8,64,15,5296,991,72,-47,1
2013,1,1,13,-6.4,-12.9,60,7,5293,991,70,-36,1
2013,1,1,14,-6.2,-13.3,57,11,5292,979,70,-70,1
2013,1,1,15,-5.7,-14,52,11,5334,1001,70,-22,1
2013,1,1,16,-6.1,-15.3,48,13,5579,1127,71,-142,1
2013,1,1,17,-7,-16.6,46,13,6155,1241,72,-15,1
2013,1,1,18,-8.1,-16.7,50,9,6239,1222,66,-177,1
2013,1,1,19,-8.3,-17.4,48,9,6162,1183,65,-1,1
2013,1,1,20,-10,-16.3,60,9,6061,1150,60,-69,1
2013,1,1,21,-7.7,-12.9,66,19,5907,1100,58,-13,1
2013,1,1,22,-7.7,-12.3,70,13,5636,1019,56,20,1
2013,1,1,23,-6.9,-11.1,72,11,5294,939,52,-48,1
2013,1,2,0,-6.3,-10.7,71,15,5013,887,53,-33,0
2013,1,2,1,-6.4,-10.6,72,11,4825,849,54,67,0
2013,1,2,2,-6.7,-10.6,74,11,4712,847,55,37,0
2013,1,2,3,-6.9,-11.3,71,15,4676,847,56,7,0
2013,1,2,4,-7.2,-11.6,71,11,4726,856,54,70,0
2013,1,2,5,-6.8,-10.9,73,13,4955,899,58,-30,0
2013,1,2,6,-6.1,-10.3,72,19,5444,1008,62,-62,0
2013,1,2,7,-5.9,-10,73,22,5987,1095,65,-100,0
2013,1,2,8,-5.9,-10.1,72,24,6222,1120,68,28,0
2013,1,2,9,-5.7,-9.6,74,28,6414,1143,68,17,0
2013,1,2,10,-4.9,-9.2,72,24,6554,1147,68,13,0
2013,1,2,11,-4,-8.8,69,30,6670,1151,69,4,0
2013,1,2,12,-3.2,-8.9,65,20,6707,1125,60,-16,0
2013,1,2,13,-2.9,-9,63,20,6686,1132,57,-55,0
2013,1,2,14,-2.8,-8.8,63,22,6636,1129,67,-3,0
2013,1,2,15,-2.8,-9.1,62,19,6638,1153,67,20,0
2013,1,2,16,-3.1,-8.5,66,9,6769,1250,67,-123,0
2013,1,2,17,-3.9,-7.1,78,11,7227,1391,69,-14,0
2013,1,2,18,-6,-9.1,79,9,7246,1377,68,-110,0
2013,1,2,19,-6.4,-9.7,77,17,7108,1368,63,24,0
2013,1,2,20,-6.4,-10,76,7,6961,1325,61,25,0
2013,1,2,21,-6.1,-10.1,73,6,6685,1251,56,-76,0
2013,1,2,22,-5.9,-9.7,74,0,6295,1135,55,44,0
2013,1,2,23,-6.3,-9.6,77,0,5823,1044,53,37,0
2013,1,3,0,-5.9,-9.1,78,4,5444,978,54,-46,0
2013,1,3,1,-5.8,-8.7,80,6,5208,951,64,28,0
2013,1,3,2,-5.7,-8.4,81,4,5060,931,68,3,0
2013,1,3,3,-6.3,-8.9,82,6,5009,939,53,-26,0
2013,1,3,4,-6.6,-9,83,6,5058,961,55,-40,0
2013,1,3,5,-7,-9.4,83,7,5265,1043,57,-176,0
2013,1,3,6,-7.2,-9.6,83,6,5695,1146,60,10,0
2013,1,3,7,-7.1,-9.7,82,7,6228,1190,62,-78,0
2013,1,3,8,-6.7,-9,84,4,6463,1215,61,-20,0
2013,1,3,9,-5.7,-8,84,4,6660,1226,57,-12,0
2013,1,3,10,-5.2,-8,81,9,6793,1248,56,-7,0
2013,1,3,11,-4.8,-7.4,82,11,6896,1259,56,-54,0
2013,1,3,12,-3.8,-6.8,80,13,6902,1240,51,-7,0
2013,1,3,13,-3.1,-6.8,76,30,6890,1223,50,67,0
2013,1,3,14,-2.5,-7,71,17,6843,1217,30,-21,0
2013,1,3,15,-2.1,-7.3,68,22,6821,1230,52,37,0
2013,1,3,16,-2.4,-6.9,71,22,6948,1305,52,112,0
2013,1,3,17,-2.3,-6.5,73,20,7318,1430,53,-113,0
2013,1,3,18,-2.4,-6.1,76,30,7297,1395,52,-67,0
2013,1,3,19,-2.8,-6.1,78,32,7154,1360,51,-34,0
2013,1,3,20,-2.8,-6.1,78,30,6970,1308,50,28,0
2013,1,3,21,-2.1,-5.7,76,30,6665,1255,48,29,0
2013,1,3,22,-1.7,-5.3,76,28,6241,1129,46,58,0
2013,1,3,23,-1.5,-5.4,75,22,5743,1046,45,38,0
2013,1,4,0,-1.4,-6,71,20,5355,959,43,-35,0
2013,1,4,1,-1.2,-6.1,69,26,5109,923,41,61,0
2013,1,4,2,-1.5,-6.7,68,32,4963,929,41,13,0
2013,1,4,3,-1.7,-6.8,68,30,4905,923,41,-5,0
2013,1,4,4,-2,-6.9,69,26,4934,932,42,-39,0
2013,1,4,5,-2.2,-7,70,35,5134,976,45,-51,0
2013,1,4,6,-1.9,-6.9,69,33,5564,1077,49,-11,0
2013,1,4,7,-1.8,-6.4,71,43,6093,1132,52,-43,0
2013,1,4,8,-1.7,-6.5,70,39,6330,1157,53,9,0
2013,1,4,9,-1.7,-6.4,70,43,6540,1173,51,-63,0
2013,1,4,10,-1.6,-6.2,71,46,6684,1175,50,-7,0
2013,1,4,11,-1,-6.2,68,33,6762,1159,52,48,0
2013,1,4,12,-0.9,-6.2,67,33,6803,1131,50,46,0
2013,1,4,13,-1,-6.3,67,35,6795,1115,50,94,0
2013,1,4,14,-1.3,-6.6,67,33,6785,1106,51,22,0
2013,1,4,15,-1.7,-5.9,73,39,6754,1117,52,27,0
2013,1,4,16,-1.7,-6,72,30,6878,1196,52,68,0
2013,1,4,17,-2,-6.2,73,20,7186,1287,54,-89,0
2013,1,4,18,-2.2,-6,75,22,7137,1244,93,-27,0
2013,1,4,19,-2.3,-6.5,73,28,6992,1187,106,-28,0
2013,1,4,20,-2.5,-6.5,74,32,6828,1152,105,-41,0
2013,1,4,21,-2.3,-6,76,28,6563,1081,104,-53,0
2013,1,4,22,-2,-5.6,76,26,6155,987,99,-31,0
2013,1,4,23,-1.4,-4.6,79,22,5685,900,93,100,0
2013,1,5,0,-0.3,-3.8,77,20,5283,847,88,25,0
2013,1,5,1,0.2,-3.7,75,22,4983,820,90,52,0
2013,1,5,2,-0.1,-3.5,78,20,4805,798,92,61,0
2013,1,5,3,-0.1,-3.5,78,24,4714,784,95,19,0
2013,1,5,4,-0.2,-3.2,80,20,4674,785,98,16,0
2013,1,5,5,0,-3.1,80,19,4734,794,100,-67,0
2013,1,5,6,-0.1,-3,81,20,4889,849,104,-50,0
2013,1,5,7,-0.1,-2.8,82,13,5135,912,107,-57,0
2013,1,5,8,0.1,-2.8,81,17,5348,961,112,-74,0
2013,1,5,9,-0.4,-3.2,81,6,5625,987,113,-5,0
2013,1,5,10,-0.2,-3.4,79,9,5834,1013,99,-167,0
2013,1,5,11,0.4,-3.6,74,17,5938,1026,102,-136,0
2013,1,5,12,1,-3.9,70,17,5919,1017,101,-70,0
2013,1,5,13,1.3,-4.6,65,15,5883,987,98,49,0
2013,1,5,14,0.6,-4.2,70,15,5858,978,99,5,0
2013,1,5,15,0.2,-4,73,20,5837,987,111,53,0
2013,1,5,16,0.2,-4,73,13,6077,1096,110,-75,0
2013,1,5,17,0.2,-3.9,74,13,6533,1235,110,-58,0
2013,1,5,18,-0.4,-3.8,78,22,6536,1225,109,-74,0
2013,1,5,19,-0.9,-4.6,76,17,6375,1186,105,0,0
2013,1,5,20,-0.8,-4.2,78,11,6207,1144,102,15,0
2013,1,5,21,-0.5,-3.9,78,13,5988,1105,100,63,0
2013,1,5,22,-0.1,-3.4,78,9,5708,1032,99,23,0
2013,1,5,23,0.2,-3.2,78,11,5374,967,100,-25,0
2013,1,6,0,-0.6,-2.1,90,6,5064,898,99,-59,0
2013,1,6,1,0.1,-2.6,82,9,4822,872,97,19,0
2013,1,6,2,0.1,-2.6,82,11,4651,866,65,-71,0
2013,1,6,3,0.1,-2.2,84,13,4556,860,54,-27,0
2013,1,6,4,0,-1.5,90,19,4533,865,56,-45,0
2013,1,6,5,0,-1.4,90,19,4563,855,58,-61,0
2013,1,6,6,0.3,-0.9,92,15,4669,873,60,-91,0
2013,1,6,7,0.8,-0.4,92,20,4838,891,63,-94,0
2013,1,6,8,1,0,93,20,5021,924,67,-163,0
2013,1,6,9,1.1,0.2,94,15,5310,971,67,-62,0
2013,1,6,10,1.1,0.3,94,13,5586,995,64,-144,0
2013,1,6,11,1.1,0.5,96,17,5761,1023,66,-56,0
2013,1,6,12,1.8,0.1,88,24,5869,1020,66,-93,0
2013,1,6,13,1.8,0,88,26,5881,1031,62,-78,0
2013,1,6,14,1.9,0.1,88,24,5850,1034,67,-87,0
2013,1,6,15,1.8,0.3,90,26,5867,1050,69,-79,0
