Year,Month,Day,Hour,Toronto,Ottawa,Bruce,Difference,Holiday & Weekends,Price_Tor,Price_Ott,Price_Bruce,"
",
2016,1,1,1,4789,783,57,33,1,-1.08,-1.08,-1.05,,
2016,1,1,2,4597,715,59,11,1,-0.04,-0.04,-0.04,,
2016,1,1,3,4441,693,65,59,1,-6.15,-6.15,-5.97,,
2016,1,1,4,4332,681,48,-33,1,0,0,0,,
2016,1,1,5,4272,676,63,-28,1,-2.49,-2.49,-2.41,,
2016,1,1,6,4294,698,57,-35,1,-0.02,-0.02,-0.02,,
2016,1,1,7,4373,747,52,-22,1,0,0,0,,
2016,1,1,8,4475,761,66,-18,1,0,0,0,,
2016,1,1,9,4548,755,70,57,1,-0.01,-0.01,-0.01,,
2016,1,1,10,4754,807,65,-6,1,0,0,0,,
2016,1,1,11,4905,833,70,7,1,0,0,0,,
2016,1,1,12,5093,856,72,79,1,0,0,0,,
2016,1,1,13,5232,873,63,53,1,2.5,2.5,2.43,,
2016,1,1,14,5344,888,73,2,1,9.24,9.24,8.97,,
2016,1,1,15,5362,909,76,-28,1,0,0,0,,
2016,1,1,16,5330,931,79,-8,1,1.46,1.46,1.42,,
2016,1,1,17,5483,1009,79,-111,1,3.72,3.72,3.61,,
2016,1,1,18,5927,1074,81,-188,1,5.04,5.04,4.9,,
2016,1,1,19,5932,1051,82,-167,1,2.97,2.97,2.88,,
2016,1,1,20,5817,1024,82,-115,1,1.45,1.45,1.41,,
2016,1,1,21,5705,993,83,-30,1,1.44,1.44,1.4,,
2016,1,1,22,5543,952,77,-54,1,9.51,9.51,9.23,,
2016,1,1,23,5322,880,66,-9,1,1.69,1.69,1.64,,
2016,1,1,24,5021,808,72,-1,1,4.13,4.13,4.01,,
2016,1,2,1,4759,743,62,50,0,0,0,0,,
2016,1,2,2,4549,700,68,16,0,0,0,0,,
2016,1,2,3,4404,687,66,-106,0,0,0,0,,
2016,1,2,4,4323,680,67,-52,0,-0.27,-0.27,-0.26,,
2016,1,2,5,4301,693,64,-50,0,-0.01,-0.01,-0.01,,
2016,1,2,6,4372,698,68,-80,0,-0.81,-0.81,-0.79,,
2016,1,2,7,4519,750,67,-57,0,0,0,0,,
