Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,"
"
2006,1,1,0,-10.7,-13.6,79,19,
2006,1,1,1,-10.5,-13.5,79,17,
2006,1,1,2,-10.3,-13.3,79,15,
2006,1,1,3,-10.2,-12.9,81,13,
2006,1,1,4,-10.3,-13.3,79,17,
2006,1,1,5,-10.3,-13,81,13,
2006,1,1,6,-10.3,-12.9,81,17,
2006,1,1,7,-10.3,-12.8,82,13,
2006,1,1,8,-10.2,-12.5,83,9,
2006,1,1,9,-10.1,-12.4,83,9,
2006,1,1,10,-9.9,-12,85,9,
2006,1,1,11,-9.8,-11.8,85,9,
2006,1,1,12,-9.2,-11.4,84,6,
2006,1,1,13,-8.8,-10.9,85,7,
2006,1,1,14,-8.5,-10.5,85,6,
2006,1,1,15,-8.6,-10.5,86,6,
2006,1,1,16,-8.6,-10.3,87,6,
2006,1,1,17,-8.5,-9.9,90,2,
2006,1,1,18,-8.4,-9.7,90,4,
2006,1,1,19,-8.4,-9.5,92,6,
2006,1,1,20,-8.5,-9.5,92,2,
2006,1,1,21,-8.6,-9.4,94,4,
2006,1,1,22,-8.3,-9.1,94,4,
2006,1,1,23,-8.1,-8.7,95,6,
2006,1,2,0,-7.9,-8.3,97,6,
2006,1,2,1,-7.7,-7.9,98,4,
2006,1,2,2,-7.6,-7.7,99,6,
2006,1,2,3,-7.5,-7.7,98,4,
2006,1,2,4,-7.1,-7.3,98,4,
2006,1,2,5,-7,-7.3,98,2,
2006,1,2,6,-7,-7.2,98,2,
2006,1,2,7,-6.7,-6.9,98,7,
2006,1,2,8,-6.8,-7.1,98,9,
2006,1,2,9,-6.3,-6.7,97,7,
2006,1,2,10,-5.9,-6.5,96,6,
2006,1,2,11,-5.4,-5.8,97,6,
2006,1,2,12,-4.8,-5,98,7,
2006,1,2,13,-4.2,-4.4,99,6,
2006,1,2,14,-3.6,-3.7,99,6,
2006,1,2,15,-3.1,-3.1,100,9,
2006,1,2,16,-3.1,-3.1,100,13,
2006,1,2,17,-3.5,-3.5,100,15,
2006,1,2,18,-3.9,-3.9,100,15,
2006,1,2,19,-4.2,-4.2,100,19,
2006,1,2,20,-4.5,-4.6,99,15,
2006,1,2,21,-5.2,-5.2,100,19,
2006,1,2,22,-5.7,-5.7,100,20,
2006,1,2,23,-6.6,-6.7,99,19,
2006,1,3,0,-7,-7.2,98,20,
2006,1,3,1,-7,-7.4,97,20,
2006,1,3,2,-7,-7.7,95,19,
2006,1,3,3,-7.2,-8,94,15,
2006,1,3,4,-7.4,-8.1,95,13,
2006,1,3,5,-7.7,-8.4,95,11,
2006,1,3,6,-7.9,-8.4,96,11,
2006,1,3,7,-8,-8.5,96,9,
2006,1,3,8,-8.4,-8.9,96,9,
2006,1,3,9,-7.8,-8.8,93,13,
2006,1,3,10,-6.7,-8.5,87,17,
2006,1,3,11,-5.2,-7.9,81,15,
2006,1,3,12,-4.1,-7.6,77,19,
2006,1,3,13,-2.9,-6.9,74,19,
2006,1,3,14,-2,-6.4,72,11,
2006,1,3,15,-1.2,-6.1,69,11,
2006,1,3,16,-1.7,-6.3,71,11,
2006,1,3,17,-2.7,-6.5,75,9,
2006,1,3,18,-4.2,-7.2,80,13,
2006,1,3,19,-5.9,-8.4,82,9,
2006,1,3,20,-6.2,-8.5,84,13,
2006,1,3,21,-7.1,-8.8,88,11,
2006,1,3,22,-7.7,-8.9,91,13,
2006,1,3,23,-8.1,-9.2,92,13,
2006,1,4,0,-8.5,-9.4,93,9,
2006,1,4,1,-8.2,-9,94,6,
2006,1,4,2,-7.7,-8.6,93,13,
2006,1,4,3,-8.2,-8.8,95,13,
2006,1,4,4,-8.9,-8.9,100,17,
2006,1,4,5,-9.2,-9.2,100,13,
2006,1,4,6,-9.2,-9.2,100,9,
2006,1,4,7,-9,-9,100,13,
2006,1,4,8,-8.9,-8.9,100,15,
2006,1,4,9,-8.7,-8.7,100,15,
2006,1,4,10,-8.3,-8.3,100,15,
2006,1,4,11,-7.8,-7.8,100,13,
2006,1,4,12,-7,-7,100,13,
2006,1,4,13,-6.4,-6.7,98,13,
2006,1,4,14,-6.3,-6.8,96,15,
2006,1,4,15,-6.5,-6.5,100,17,
2006,1,4,16,-6.7,-6.7,100,13,
2006,1,4,17,-6.8,-6.8,100,15,
2006,1,4,18,-6.7,-6.7,100,15,
2006,1,4,19,-6.4,-6.4,100,13,
2006,1,4,20,-6.1,-6.1,100,11,
2006,1,4,21,-6,-6,100,15,
2006,1,4,22,-5.7,-5.7,100,13,
2006,1,4,23,-5.3,-5.3,100,13,
2006,1,5,0,-5,-5,100,13,
2006,1,5,1,-4.8,-4.8,100,11,
2006,1,5,2,-4.5,-4.5,100,9,
2006,1,5,3,-4.3,-4.3,100,9,
2006,1,5,4,-3.9,-3.9,100,9,
2006,1,5,5,-3.6,-3.6,100,9,
2006,1,5,6,-3.4,-3.4,100,7,
2006,1,5,7,-3.3,-3.3,100,9,
2006,1,5,8,-3.1,-3.1,100,9,
2006,1,5,9,-2.7,-2.7,100,7,
2006,1,5,10,-2.3,-2.3,100,6,
2006,1,5,11,-1.7,-1.7,100,9,
2006,1,5,12,-0.7,-0.7,100,9,
2006,1,5,13,-0.5,-0.5,100,7,
2006,1,5,14,-0.4,-0.4,100,11,
2006,1,5,15,-0.4,-0.4,100,15,
2006,1,5,16,-0.3,-0.3,100,17,
2006,1,5,17,-0.7,-0.7,100,11,
2006,1,5,18,-0.6,-0.6,100,13,
2006,1,5,19,-1.7,-2.3,96,22,
2006,1,5,20,-2.4,-3.1,95,22,
2006,1,5,21,-3.2,-4.5,91,22,
2006,1,5,22,-4.4,-5.9,89,24,
2006,1,5,23,-5.3,-7.2,86,19,
2006,1,6,0,-6.1,-8.4,84,19,
2006,1,6,1,-6.9,-9.2,84,17,
2006,1,6,2,-7.4,-9.7,84,17,
2006,1,6,3,-7.7,-10,84,15,
2006,1,6,4,-8.8,-10.3,89,7,
2006,1,6,5,-9.5,-10.3,94,9,
2006,1,6,6,-9.3,-10,95,9,
2006,1,6,7,-9.3,-10.1,94,9,
2006,1,6,8,-8.9,-10,92,7,
2006,1,6,9,-8.8,-9.9,92,11,
2006,1,6,10,-8.5,-9.8,90,9,
2006,1,6,11,-8.8,-11.5,81,15,
2006,1,6,12,-8.1,-10.6,82,13,
2006,1,6,13,-7.8,-10.5,81,15,
2006,1,6,14,-8.4,-10.8,83,17,
2006,1,6,15,-8.4,-11.4,79,13,
2006,1,6,16,-9.8,-12.9,78,17,
2006,1,6,17,-11.2,-13.9,80,13,
2006,1,6,18,-12,-14.3,83,15,
2006,1,6,19,-12.6,-14.5,86,13,
2006,1,6,20,-12.9,-14.8,86,11,
2006,1,6,21,-14,-15.4,89,11,
2006,1,6,22,-15.2,-16.4,91,7,
2006,1,6,23,-16.1,-17.1,92,9,
2006,1,7,0,-16.7,-17.5,93,13,
2006,1,7,1,-17.2,-17.7,96,11,
