Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,"
"
2013,1,1,0,-1.2,-7.6,62,28,
2013,1,1,1,-2.3,-9.2,59,28,
2013,1,1,2,-2.6,-9.6,59,24,
2013,1,1,3,-3.1,-10.5,57,24,
2013,1,1,4,-3.2,-10.3,58,28,
2013,1,1,5,-3.6,-9.9,62,22,
2013,1,1,6,-3.8,-9.3,66,20,
2013,1,1,7,-4.6,-9.8,67,22,
2013,1,1,8,-5.4,-11.5,62,24,
2013,1,1,9,-6.2,-12.4,61,22,
2013,1,1,10,-6.8,-14.6,54,22,
2013,1,1,11,-7.3,-12.8,65,15,
2013,1,1,12,-7.2,-12.8,64,15,
2013,1,1,13,-6.4,-12.9,60,7,
2013,1,1,14,-6.2,-13.3,57,11,
2013,1,1,15,-5.7,-14,52,11,
2013,1,1,16,-6.1,-15.3,48,13,
2013,1,1,17,-7,-16.6,46,13,
2013,1,1,18,-8.1,-16.7,50,9,
2013,1,1,19,-8.3,-17.4,48,9,
2013,1,1,20,-10,-16.3,60,9,
2013,1,1,21,-7.7,-12.9,66,19,
2013,1,1,22,-7.7,-12.3,70,13,
2013,1,1,23,-6.9,-11.1,72,11,
2013,1,2,0,-6.3,-10.7,71,15,
2013,1,2,1,-6.4,-10.6,72,11,
2013,1,2,2,-6.7,-10.6,74,11,
2013,1,2,3,-6.9,-11.3,71,15,
2013,1,2,4,-7.2,-11.6,71,11,
2013,1,2,5,-6.8,-10.9,73,13,
2013,1,2,6,-6.1,-10.3,72,19,
2013,1,2,7,-5.9,-10,73,22,
2013,1,2,8,-5.9,-10.1,72,24,
2013,1,2,9,-5.7,-9.6,74,28,
2013,1,2,10,-4.9,-9.2,72,24,
2013,1,2,11,-4,-8.8,69,30,
2013,1,2,12,-3.2,-8.9,65,20,
2013,1,2,13,-2.9,-9,63,20,
2013,1,2,14,-2.8,-8.8,63,22,
2013,1,2,15,-2.8,-9.1,62,19,
2013,1,2,16,-3.1,-8.5,66,9,
2013,1,2,17,-3.9,-7.1,78,11,
2013,1,2,18,-6,-9.1,79,9,
2013,1,2,19,-6.4,-9.7,77,17,
2013,1,2,20,-6.4,-10,76,7,
2013,1,2,21,-6.1,-10.1,73,6,
2013,1,2,22,-5.9,-9.7,74,0,
2013,1,2,23,-6.3,-9.6,77,0,
2013,1,3,0,-5.9,-9.1,78,4,
2013,1,3,1,-5.8,-8.7,80,6,
2013,1,3,2,-5.7,-8.4,81,4,
2013,1,3,3,-6.3,-8.9,82,6,
2013,1,3,4,-6.6,-9,83,6,
2013,1,3,5,-7,-9.4,83,7,
2013,1,3,6,-7.2,-9.6,83,6,
2013,1,3,7,-7.1,-9.7,82,7,
2013,1,3,8,-6.7,-9,84,4,
2013,1,3,9,-5.7,-8,84,4,
2013,1,3,10,-5.2,-8,81,9,
2013,1,3,11,-4.8,-7.4,82,11,
2013,1,3,12,-3.8,-6.8,80,13,
2013,1,3,13,-3.1,-6.8,76,30,
2013,1,3,14,-2.5,-7,71,17,
2013,1,3,15,-2.1,-7.3,68,22,
2013,1,3,16,-2.4,-6.9,71,22,
2013,1,3,17,-2.3,-6.5,73,20,
2013,1,3,18,-2.4,-6.1,76,30,
2013,1,3,19,-2.8,-6.1,78,32,
2013,1,3,20,-2.8,-6.1,78,30,
2013,1,3,21,-2.1,-5.7,76,30,
2013,1,3,22,-1.7,-5.3,76,28,
2013,1,3,23,-1.5,-5.4,75,22,
2013,1,4,0,-1.4,-6,71,20,
2013,1,4,1,-1.2,-6.1,69,26,
2013,1,4,2,-1.5,-6.7,68,32,
2013,1,4,3,-1.7,-6.8,68,30,
2013,1,4,4,-2,-6.9,69,26,
2013,1,4,5,-2.2,-7,70,35,
2013,1,4,6,-1.9,-6.9,69,33,
2013,1,4,7,-1.8,-6.4,71,43,
2013,1,4,8,-1.7,-6.5,70,39,
2013,1,4,9,-1.7,-6.4,70,43,
2013,1,4,10,-1.6,-6.2,71,46,
2013,1,4,11,-1,-6.2,68,33,
2013,1,4,12,-0.9,-6.2,67,33,
2013,1,4,13,-1,-6.3,67,35,
2013,1,4,14,-1.3,-6.6,67,33,
2013,1,4,15,-1.7,-5.9,73,39,
2013,1,4,16,-1.7,-6,72,30,
2013,1,4,17,-2,-6.2,73,20,
2013,1,4,18,-2.2,-6,75,22,
2013,1,4,19,-2.3,-6.5,73,28,
2013,1,4,20,-2.5,-6.5,74,32,
2013,1,4,21,-2.3,-6,76,28,
