Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 0:00,2011,1,1,0:00,5.4,,5,,97,,14,,9,,,,98.4,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 1:00,2011,1,1,1:00,5.7,,5.3,,97,,16,,11,,,,98.42,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 2:00,2011,1,1,2:00,6.4,,6,,97,,16,,15,,,,98.36,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 3:00,2011,1,1,3:00,6.2,,5.8,,97,,16,,15,,,,98.35,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 4:00,2011,1,1,4:00,7.2,,6.7,,97,,16,,15,,,,98.29,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 5:00,2011,1,1,5:00,6.3,,5.4,,94,,17,,11,,,,98.25,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 6:00,2011,1,1,6:00,6.1,,5.5,,96,,16,,11,,,,98.18,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 7:00,2011,1,1,7:00,6.5,,6,,97,,17,,15,,,,98.12,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 8:00,2011,1,1,8:00,8.1,,7.6,,97,,15,,20,,,,97.99,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 9:00,2011,1,1,9:00,6.4,,6,,97,,16,,19,,,,97.93,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 10:00,2011,1,1,10:00,6.5,,6.1,,97,,16,,17,,,,97.9,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 11:00,2011,1,1,11:00,6.7,,6.3,,97,,17,,19,,,,97.86,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 12:00,2011,1,1,12:00,6.7,,6.3,,97,,18,,19,,,,97.75,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 13:00,2011,1,1,13:00,5.4,,5.1,,98,,21,,19,,,,97.73,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 14:00,2011,1,1,14:00,4.8,,2.4,,84,,20,,15,,,,97.69,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 15:00,2011,1,1,15:00,3.8,,0.2,,77,,20,,19,,,,97.74,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 16:00,2011,1,1,16:00,3.6,,-0.6,,74,,21,,19,,,,97.79,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 17:00,2011,1,1,17:00,3.7,,-1.7,,68,,21,,22,,,,97.87,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 18:00,2011,1,1,18:00,2,,-6.2,,55,,22,,32,,,,97.98,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 19:00,2011,1,1,19:00,0.4,,-6.1,,62,,24,,26,,,,98.11,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 20:00,2011,1,1,20:00,-0.8,,-7,,63,,25,,24,,,,98.26,,,,-7,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2011 21:00,2011,1,1,21:00,-2.5,,-7.6,,68,,26,,30,,,,98.37,,,,-10,,NA
