Day,Month,Year,holiday
1,1,2013,New Year's Day
18,2,2013,Family Day
29,3,2013,Good Friday
20,5,2013,Victoria Day
1,7,2013,Canada Day
5,8,2013,Civic Holiday
2,9,2013,Labour Day
14,10,2013,Thanksgiving
24,12,2013,Additional Day
25,12,2013,Christmas
26,12,2013,Boxing Day
27,12,2013,Additional Day
30,12,2013,Additional Day
31,12,2013,Additional Day
1,1,2014,New Year's Day
17,2,2014,Family Day
18,4,2014,Good Friday
19,5,2014,Victoria Day
30,6,2014,Additional Day
1,7,2014,Canada Day
4,8,2014,Civic Holiday
1,9,2014,Labour Day
13,10,2014,Thanksgiving
24,12,2014,Additional Day
25,12,2014,Christmas
26,12,2014,Boxing Day
29,12,2014,Additional Day
30,12,2014,Additional Day
31,12,2014,Additional Day
1,1,2015,New Year's Day
2,1,2015,Additional Day
16,2,2015,Family Day
3,4,2015,Good Friday
18,5,2015,Victoria Day
1,7,2015,Canada Day
3,8,2015,Civic Holiday
7,9,2015,Labour Day
12,10,2015,Thanksgiving
24,12,2015,Additional Day
25,12,2015,Christmas
28,12,2015,Boxing Day
29,12,2015,Additional Day
30,12,2015,Additional Day
31,12,2015,Additional Day
1,1,2016,New Year's Day
15,2,2016,Family Day
25,3,2016,Good Friday
23,5,2016,Victoria Day
1,7,2016,Canada Day
1,8,2016,Civic Holiday
5,9,2016,Labour Day
10,10,2016,Thanksgiving
26,12,2016,Christmas Day
27,12,2016,Boxing Day
28,12,2016,Additional Day
29,12,2016,Additional Day
30,12,2016,Additional Day
1,1,2017,New Year's Day
2,1,2017,New Year's Day
20,2,2017,Family Day
14,4,2017,Good Friday
22,5,2017,Victoria Day
3,7,2017,Canada Day
7,8,2017,Civic Holiday
4,9,2017,Labour Day
9,10,2017,Thanksgiving
25,12,2017,Christmas Day
26,12,2017,Boxing Day
27,12,2017,Additional Day
28,12,2017,Additional Day
29,12,2017,Additional Day
1,1,2018,New Year's Day
19,2,2018,Family Day
30,3,2018,Good Friday
21,5,2018,Victoria Day
2,7,2018,Canada Day
6,8,2018,Civic Holiday
3,9,2018,Labour Day
8,10,2018,Thanksgiving
24,12,2018,Additional Day
25,12,2018,Christmas Day
26,12,2018,Boxing Day
27,12,2018,Additional Day
28,12,2018,Additional Day
31,12,2018,Additional Day
1,1,2019,New Year's Day
18,2,2019,Family Day
19,4,2019,Good Friday
20,5,2019,Victoria Day
1,7,2019,Canada Day
5,8,2019,Civic Holiday
2,9,2019,Labour Day
14,10,2019,Thanksgiving
24,12,2019,Additional Day
25,12,2019,Christmas Day
26,12,2019,Boxing Day
27,12,2019,Additional Day
30,12,2019,Additional Day
31,12,2019,Additional Day
1,1,2020,New Year's Day
17,2,2020,Family Day
10,4,2020,Good Friday
18,5,2020,Victoria Day
1,7,2020,Canada Day
3,8,2020,Civic Holiday
7,9,2020,Labour Day
12,10,2020,Thanksgiving
24,12,2020,Additional Day
25,12,2020,Christmas Day
28,12,2020,Boxing Day
29,12,2020,Additional Day
30,12,2020,Additional Day
31,12,2020,Additional Day
