\\Hourly Demand Report,,,,,,,
\\Created at 2020-03-13 07:30:12,,,,,,,
\\For 2020,,,,,,,
Date,Hour,Market Demand,Ontario Demand,Forecast,,abs,MAPE
01/01/2020,1,16565,13219,13305,,0.006505787,7.467994472
01/01/2020,2,16193,12895,12870,,0.001938736,
01/01/2020,3,16072,12554,12512,,0.003345547,
01/01/2020,4,15930,12360,12370,,0.000809061,
01/01/2020,5,15963,12353,12469,,0.009390431,
01/01/2020,6,16057,12458,12584,,0.010113983,
01/01/2020,7,16249,12729,12874,,0.011391311,
01/01/2020,8,16498,13180,13174,,0.000455235,
01/01/2020,9,16686,13406,13488,,0.006116664,
01/01/2020,10,16973,13765,13837,,0.005230657,
01/01/2020,11,17340,14078,14121,,0.003054411,
01/01/2020,12,17537,14373,14372,,6.95749E-05,
01/01/2020,13,17756,14495,14560,,0.004484305,
01/01/2020,14,17764,14513,14727,,0.014745401,
01/01/2020,15,17857,14690,15011,,0.0218516,
01/01/2020,16,17162,14753,15794,,0.07056192,
01/01/2020,17,17654,15490,16593,,0.07120723,
01/01/2020,18,18537,16324,16990,,0.040798824,
01/01/2020,19,18574,16208,16854,,0.039856861,
01/01/2020,20,18332,15911,16561,,0.040852241,
01/01/2020,21,18314,15535,16185,,0.041841004,
01/01/2020,22,18638,15222,15668,,0.029299698,
01/01/2020,23,17964,14426,14978,,0.038264245,
01/01/2020,24,17201,13698,14250,,0.040297854,
02/01/2020,1,16449,12996,13637,,0.049322869,
02/01/2020,2,16373,12662,13173,,0.040356974,
02/01/2020,3,16031,12435,12862,,0.034338561,
02/01/2020,4,15872,12365,12771,,0.032834614,
02/01/2020,5,16082,12481,12887,,0.032529445,
02/01/2020,6,16587,12940,13996,,0.081607419,
02/01/2020,7,17671,13999,15005,,0.071862276,
02/01/2020,8,19065,15238,15462,,0.014700092,
02/01/2020,9,19484,15655,15679,,0.001533057,
02/01/2020,10,19585,15819,15665,,0.009735129,
02/01/2020,11,19086,15839,15579,,0.016415178,
02/01/2020,12,19024,15846,15555,,0.018364256,
02/01/2020,13,18568,15685,15544,,0.00898948,
02/01/2020,14,19147,15926,15646,,0.017581314,
02/01/2020,15,19114,15932,15820,,0.007029877,
02/01/2020,16,19113,16048,16460,,0.025672981,
02/01/2020,17,19141,16846,17145,,0.017749021,
02/01/2020,18,19784,17621,17470,,0.008569321,
02/01/2020,19,19768,17331,17391,,0.003462005,
02/01/2020,20,19623,17099,17132,,0.001929937,
02/01/2020,21,19173,16784,16802,,0.00107245,
02/01/2020,22,18611,16005,16258,,0.01580756,
02/01/2020,23,18223,15145,15421,,0.018223836,
02/01/2020,24,17277,14154,14478,,0.022891056,
03/01/2020,1,16372,13369,13758,,0.029097165,
03/01/2020,2,16181,12976,13202,,0.017416769,
03/01/2020,3,15810,12588,12811,,0.017715284,
03/01/2020,4,15853,12570,12666,,0.007637232,
03/01/2020,5,16420,12759,12690,,0.005407947,
03/01/2020,6,16798,13419,13068,,0.026156942,
03/01/2020,7,16773,14323,13944,,0.026460937,
03/01/2020,8,17414,15321,14984,,0.021995953,
03/01/2020,9,17897,15941,15503,,0.027476319,
03/01/2020,10,17624,16053,15704,,0.021740485,
03/01/2020,11,18203,16339,15739,,0.036721954,
03/01/2020,12,18034,16358,15776,,0.035578922,
03/01/2020,13,18700,16684,15752,,0.055861904,
03/01/2020,14,18644,16744,15772,,0.058050645,
03/01/2020,15,18323,16516,15809,,0.042806975,
03/01/2020,16,18446,16491,15882,,0.036929234,
03/01/2020,17,18943,16991,16360,,0.037137308,
03/01/2020,18,19776,17675,17058,,0.034908062,
03/01/2020,19,19422,17228,17000,,0.01323427,
03/01/2020,20,19160,16918,16768,,0.008866296,
03/01/2020,21,18590,16669,16511,,0.009478673,
03/01/2020,22,18078,16091,16054,,0.002299422,
03/01/2020,23,17147,15254,15334,,0.005244526,
03/01/2020,24,16388,14304,14411,,0.007480425,
04/01/2020,1,16073,13670,13642,,0.002048281,
04/01/2020,2,15942,13237,13107,,0.009820956,
04/01/2020,3,15583,12942,12774,,0.012980992,
04/01/2020,4,15651,12814,12630,,0.014359295,
04/01/2020,5,15610,12814,12607,,0.016154206,
04/01/2020,6,15984,13030,12781,,0.019109747,
04/01/2020,7,16248,13623,13298,,0.023856713,
04/01/2020,8,16696,14289,14166,,0.00860802,
04/01/2020,9,17290,14854,14933,,0.005318433,
04/01/2020,10,17811,15432,15528,,0.00622084,
04/01/2020,11,18313,15880,15892,,0.000755668,
04/01/2020,12,19004,16125,16064,,0.003782946,
04/01/2020,13,19023,16131,16118,,0.000805902,
04/01/2020,14,18780,16123,16031,,0.005706134,
04/01/2020,15,18824,16082,16006,,0.00472578,
04/01/2020,16,19010,16139,16075,,0.003965549,
04/01/2020,17,19659,16640,16522,,0.007091346,
04/01/2020,18,20309,17273,17206,,0.003878886,
04/01/2020,19,20004,16885,17072,,0.011074919,
04/01/2020,20,19638,16579,16624,,0.002714277,
04/01/2020,21,19243,16251,16242,,0.000553812,
04/01/2020,22,18718,15788,15824,,0.002280213,
04/01/2020,23,17774,15023,15274,,0.016707715,
04/01/2020,24,17073,14213,14567,,0.024906775,
05/01/2020,1,17067,13678,13981,,0.022152361,
