Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 0:00,2017,1,1,0:00,-8.4,,-9.6,,91,,5,,6,,,,99.29,,,,-12,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 1:00,2017,1,1,1:00,-8,,-9.2,,91,,3,,6,,,,99.32,,,,-11,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 2:00,2017,1,1,2:00,-7.5,,-8.7,,91,,4,,5,,,,99.38,,,,-10,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 3:00,2017,1,1,3:00,-6.9,,-8,,92,,35,,6,,,,99.54,,,,-10,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 4:00,2017,1,1,4:00,-6.2,,-7.3,,92,,30,,4,,,,99.64,,,,-8,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 5:00,2017,1,1,5:00,-3,,-5.1,,85,,27,,24,,,,99.88,,,,-10,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 6:00,2017,1,1,6:00,-4,,-6.8,,81,,28,,17,,,,100.11,,,,-10,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 7:00,2017,1,1,7:00,-5.8,,-8.4,,82,,29,,13,,,,100.34,,,,-11,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 8:00,2017,1,1,8:00,-6.4,,-9.9,,76,,29,,20,,,,100.57,,,,-13,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 9:00,2017,1,1,9:00,-7.1,,-10.4,,77,,29,,14,,,,100.75,,,,-13,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 10:00,2017,1,1,10:00,-7.2,,-10.8,,75,,30,,16,,,,100.88,,,,-14,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2017 11:00,2017,1,1,11:00,-6.6,,-10.6,,73,,26,,16,,,,100.98,,,,-13,,NA
