\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2018-08-30 08:02:56,,,,,,,,
\\For 2013,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
01/01/2013,1,18.56,15.9,15.9,5.95,,,
01/01/2013,2,31.63,19.32,19.53,15.9,,,
01/01/2013,3,20.49,14.58,14.58,13.2,,,
01/01/2013,4,19.73,14.55,15.9,14.55,,,
01/01/2013,5,17.2,14.18,13.75,13.2,,,
01/01/2013,6,17.23,14.66,14.66,14.15,,,
01/01/2013,7,16.66,15.01,14.15,13.75,,,
01/01/2013,8,13.73,13.2,13.2,13.2,,,
01/01/2013,9,11.62,13.2,13.2,13.2,,,
01/01/2013,10,14.13,16.01,18.05,14,,,
01/01/2013,11,14.74,19.59,19.59,14.92,,,
01/01/2013,12,14.08,21.01,20,15.9,,,
01/01/2013,13,13.55,18.04,18.04,14.2,,,
01/01/2013,14,20.28,24.01,25.01,15.9,,,
01/01/2013,15,19.59,26.26,25.01,22.01,,,
01/01/2013,16,25.28,26.61,26.61,22.59,,,
01/01/2013,17,21.62,26.96,28.28,26.86,,,
01/01/2013,18,27.82,28.69,28.69,26.87,,,
01/01/2013,19,46.37,31,31,26.86,,,
01/01/2013,20,34.08,26.96,26.95,26.86,,,
01/01/2013,21,28.76,26.93,26.86,26.86,,,
01/01/2013,22,24.13,26.61,26.61,25.01,,,
01/01/2013,23,22.35,26.61,26.61,25,,,
01/01/2013,24,21.43,23.2,26.16,21.75,,,
02/01/2013,1,17.06,20.09,19.88,15.9,,,
02/01/2013,2,14.23,15.2,18.15,5.98,,,
02/01/2013,3,14.28,14.92,14.92,5.2,,,
02/01/2013,4,17.84,18.2,18.37,5.94,,,
02/01/2013,5,16.26,18.37,18.2,13.8,,,
02/01/2013,6,21.8,26.86,26.87,26.86,,,
02/01/2013,7,25.49,31.84,31.84,29.43,,,
02/01/2013,8,25.48,29.43,31.07,30.27,,,
02/01/2013,9,26.64,26.9,26.89,26.96,,,
02/01/2013,10,26.96,27.15,27.15,26.9,,,
02/01/2013,11,27.21,27.15,27.99,26.94,,,
02/01/2013,12,27.64,26.97,26.97,26.93,,,
02/01/2013,13,30.58,31.03,31,26.96,,,
02/01/2013,14,32.05,31.84,31.84,28.69,,,
02/01/2013,15,32.57,31.84,31.84,30.05,,,
02/01/2013,16,32.79,31.04,31.03,30.05,,,
02/01/2013,17,31.87,34.63,34,31.84,,,
02/01/2013,18,38.49,45.45,45,39.88,,,
02/01/2013,19,152.07,48,48,34.82,,,
